county,count
Crowley,1
Jackson,1
San Juan,1
Dolores,2
Kiowa,2
Mineral,2
Bent,3
Costilla,3
Gilpin,3
Hinsdale,3
Lake,3
Sedgwick,3
Conejos,4
Custer,4
Huerfano,4
Baca,5
Lincoln,5
Saguache,5
Ouray,6
Rio Blanco,6
Cheyenne,7
Moffat,7
Phillips,7
Las Animas,8
Clear Creek,9
Prowers,9
Washington,9
Kit Carson,10
Archuleta,11
Otero,12
Alamosa,13
Rio Grande,13
San Miguel,13
Yuma,13
Park,16
Montezuma,17
Chaffee,18
Elbert,18
Gunnison,20
Delta,21
Fremont,21
Pitkin,21
Grand,22
Logan,22
Montrose,22
Morgan,25
Teller,27
Routt,33
Summit,39
La Plata,45
Eagle,54
Broomfield,59
Garfield,62
Mesa,116
Pueblo,127
Boulder,293
Weld,307
Douglas,313
Larimer,314
Adams,353
Denver,465
Jefferson,486
Arapahoe,500
El Paso,551
