county,sum_infant_toddler_total_spots
Conejos,0
Jackson,0
Kiowa,0
Ouray,0
Sedgwick,0
Baca,5
Lincoln,5
Hinsdale,7
Cheyenne,10
Lake,10
Mineral,10
Dolores,12
Rio Blanco,12
Custer,13
Huerfano,13
Crowley,18
Kit Carson,18
Phillips,18
Park,19
Bent,20
Costilla,22
Las Animas,24
San Juan,25
Delta,29
Gilpin,30
Prowers,30
Washington,32
Archuleta,33
Logan,37
Moffat,38
Clear Creek,39
Elbert,40
Yuma,48
Rio Grande,51
Otero,62
San Miguel,73
Saguache,75
Grand,81
Chaffee,88
Gunnison,90
Teller,91
Montezuma,93
Fremont,96
Routt,118
Montrose,121
Alamosa,143
Morgan,143
Pitkin,223
Garfield,263
La Plata,273
Summit,280
Pueblo,336
Mesa,552
Eagle,577
Broomfield,644
Weld,1142
Larimer,2094
Boulder,2136
Adams,2442
Douglas,3193
El Paso,3318
Arapahoe,4134
Denver,4733
Jefferson,4778
